Ship,Survey,Sample,Sample type,Latitude,Longitude,Water depth,% Mud,% Sand,% Gravel
AAD dive program,DAVIS_09-1,STP 11A,push core,-68.599120,77.921000,0,9.10,84.20,6.70
AAD dive program,DAVIS_09-1,STP 11B,push core,-68.595650,77.933200,0,13.40,79.40,7.20
AAD dive program,DAVIS_09-1,STP 13B,push core,-68.648133,77.858833,0,2.10,90.80,7.00
AAD dive program,DAVIS_09-1,STP0,push core,-68.578312,77.961329,3,10.10,86.10,3.80
AAD dive program,DAVIS_09-1,STP1,push core,-68.578240,77.958820,0,11.50,87.20,1.20
AAD dive program,DAVIS_09-1,STP10A,push core,-68.584390,77.944050,5,32.50,65.90,1.60
AAD dive program,DAVIS_09-1,STP10B,push core,-68.584290,77.948680,7,25.40,73.80,0.80
AAD dive program,DAVIS_09-1,STP10C,push core,-68.586050,77.935420,13,63.60,34.20,2.20
AAD dive program,DAVIS_09-1,STP10D,push core,-68.584990,77.957380,20,8.70,90.10,1.20
AAD dive program,DAVIS_09-1,STP12A,push core,-68.617970,77.891810,3,28.10,71.40,0.50
AAD dive program,DAVIS_09-1,STP12B,push core,-68.618130,77.875950,1,16.70,83.20,0.10
AAD dive program,DAVIS_09-1,STP13A,push core,-68.655070,77.863620,7,34.50,64.80,0.70
AAD dive program,DAVIS_09-1,STP14,push core,-68.543590,78.010360,0,38.20,59.20,2.60
AAD dive program,DAVIS_09-1,STP14A,push core,-68.540130,78.003110,4,70.90,28.60,0.50
AAD dive program,DAVIS_09-1,STP14B,push core,-68.547040,77.984020,1,5.20,90.40,4.40
AAD dive program,DAVIS_09-1,STP15A,push core,-68.523000,78.073350,4,69.30,30.00,0.70
AAD dive program,DAVIS_09-1,STP15B,push core,-68.528730,78.060770,2,28.50,69.30,2.30
AAD dive program,DAVIS_09-1,STP15C,push core,-68.531030,78.039380,2,64.30,32.60,3.10
AAD dive program,DAVIS_09-1,STP16,push core,-68.568010,77.963870,5,5.20,89.60,5.10
AAD dive program,DAVIS_09-1,STP17,push core,-68.589370,77.920600,0,69.30,30.00,0.70
AAD dive program,DAVIS_09-1,STP2,push core,-68.578680,77.953210,2,6.60,93.20,0.20
AAD dive program,DAVIS_09-1,STP3,push core,-68.576320,77.959080,4,18.50,80.00,1.50
AAD dive program,DAVIS_09-1,STP4,push core,-68.576470,77.949310,2,17.80,73.30,8.80
AAD dive program,DAVIS_09-1,STP5,push core,-68.573610,77.952150,1,14.90,81.70,3.40
AAD dive program,DAVIS_09-1,STP6,push core,-68.580620,77.942760,1,3.90,93.70,2.40
AAD dive program,DAVIS_09-1,STP7,push core,-68.576700,77.945030,3,47.20,51.90,0.90
AAD dive program,DAVIS_09-1,STP9,push core,-68.582830,77.919150,2,75.30,24.00,0.70
Aurora Australis,au0207-LOSS,au0207/GR01,grab,-68.495000,70.656667,874,53.30,46.69,0.00
Aurora Australis,au0207-LOSS,au0207/GR02,grab,-68.501667,70.801667,760,65.96,34.04,0.00
Aurora Australis,au0207-LOSS,au0207/GR03,grab,-68.553333,71.386667,508,23.91,76.09,0.00
Aurora Australis,au0207-LOSS,au0207/GR04,grab,-68.576667,71.600000,486,45.85,54.15,0.00
Aurora Australis,au0207-LOSS,au0207/GR05,grab,-68.588333,72.220000,494,53.01,46.98,0.00
Aurora Australis,au0207-LOSS,au0207/GR06,grab,-68.588333,72.450000,498,53.12,46.87,0.00
Aurora Australis,au0207-LOSS,au0207/GR07,grab,-68.700000,72.903333,705,74.91,25.09,0.00
Aurora Australis,au0207-LOSS,au0207/GR08,grab,-68.800000,73.338333,784,89.90,10.10,0.00
Aurora Australis,au0207-LOSS,au0207/GR09,grab,-68.865000,73.468333,771,89.81,10.19,0.00
Aurora Australis,au0207-LOSS,au0207/GR10,grab,-69.041667,73.828333,697,76.34,23.66,0.00
Aurora Australis,au0207-LOSS,au0207/GR11,grab,-69.286667,75.228333,744,78.80,21.20,0.00
Aurora Australis,au0207-LOSS,au0207/GR12,grab,-69.300000,75.355000,608,82.81,17.19,0.00
Aurora Australis,CEAMARC,01BC01Bulk,box core,-65.996566,142.335883,233,43.31,51.79,4.90
Aurora Australis,CEAMARC,01BC03Bulk,box core,-65.992750,142.333466,235,16.18,78.17,5.65
Aurora Australis,CEAMARC,02BC01Bulk,box core,-65.998433,141.288333,232,13.86,75.69,10.45
Aurora Australis,CEAMARC,03GRSM02Bulk,grab,-65.990666,141.951800,245,18.63,57.39,23.98
Aurora Australis,CEAMARC,04BC01B/0-1,box core,-66.347550,141.972250,263,32.13,67.02,0.85
Aurora Australis,CEAMARC,06BC01B,box core,-66.330283,142.627966,380,10.39,87.70,1.91
Aurora Australis,CEAMARC,07BC01B/0-1,box core,-66.560000,142.664100,368,4.51,80.07,15.42
Aurora Australis,CEAMARC,08BC01/0.3-1.3,box core,-66.559050,142.323283,370,79.82,20.18,0.00
Aurora Australis,CEAMARC,10BC01Bulk,box core,-66.340916,141.335566,252,21.76,65.50,12.74
Aurora Australis,CEAMARC,13ABC02Bulk,box core,-66.153500,140.656833,224,15.32,84.42,0.27
Aurora Australis,CEAMARC,14BC01Bulk,box core,-66.328833,140.655083,168,7.28,92.67,0.04
Aurora Australis,CEAMARC,15BBC01Bulk,box core,-66.389266,139.809783,1132,84.29,15.71,0.00
Aurora Australis,CEAMARC,16ABC01Bulk,box core,-66.350500,139.945633,673,48.93,50.48,0.58
Aurora Australis,CEAMARC,17BC02Bulk,box core,-66.174550,140.010616,153,7.77,81.23,11.00
Aurora Australis,CEAMARC,18BC02Bulk,box core,-66.171066,139.724783,408,9.53,90.47,0.00
Aurora Australis,CEAMARC,19BC01Bulk,box core,-66.158216,139.302983,780,48.60,47.19,4.21
Aurora Australis,CEAMARC,20BC02Bulk,box core,-65.996516,139.993800,193,4.29,32.02,63.68
Aurora Australis,CEAMARC,20GRVV03Bulk,grab,-65.993233,139.991133,194,22.63,70.27,7.10
Aurora Australis,CEAMARC,21BC01Bulk,box core,-66.003483,139.665150,216,57.03,42.70,0.27
Aurora Australis,CEAMARC,22BC01Bulk,box core,-66.004133,139.326650,472,34.51,37.29,28.21
Aurora Australis,CEAMARC,27BC02A/Bulk,box core,-66.006250,142.671233,430,21.58,56.65,21.76
Aurora Australis,CEAMARC,28BC02B/0-1,box core,-66.002816,142.973233,463,42.45,52.89,4.67
Aurora Australis,CEAMARC,29BC01B/0-1,box core,-65.999216,143.367016,466,79.07,17.79,3.14
Aurora Australis,CEAMARC,30BC03B/0-1,box core,-65.993500,143.649283,430,56.49,40.90,2.60
Aurora Australis,CEAMARC,31BC01Bulk,box core,-66.564283,144.950333,500,27.28,31.79,40.92
Aurora Australis,CEAMARC,34BC02Bulk,box core,-66.334500,144.318866,461,42.14,51.75,6.11
Aurora Australis,CEAMARC,35BC01Bulk,box core,-66.331183,143.979550,520,50.53,47.07,2.40
Aurora Australis,CEAMARC,35BC02Bulk,box core,-66.330850,143.979800,521,52.18,43.66,4.16
Aurora Australis,CEAMARC,37BC02B/0.3-1.3,box core,-66.560483,143.328433,952,82.03,17.97,0.00
Aurora Australis,CEAMARC,38GRVV02B/0-1,grab,-66.344400,143.312950,708,96.52,3.48,0.00
Aurora Australis,CEAMARC,39BC01B/0-1,box core,-66.553116,142.985000,865,39.69,60.31,0.00
Aurora Australis,CEAMARC,46BC01B/0-1,box core,-66.875783,144.051233,663,18.87,81.13,0.00
Aurora Australis,CEAMARC,49ABC01B/0-1,box core,-67.024516,145.231866,1350,69.50,30.50,0.00
Aurora Australis,CEAMARC,50ABC01B/0-1,box core,-66.754016,145.217333,604,55.22,43.91,0.88
Aurora Australis,CEAMARC,51ABC02B/0-1,box core,-66.754683,145.531316,534,49.79,45.47,4.74
Aurora Australis,CEAMARC,52BC03Bulk,box core,-66.549900,145.296850,449,32.83,34.86,32.31
Aurora Australis,CEAMARC,53BC01Bulk,box core,-66.332916,144.659083,424,70.88,29.12,0.00
Aurora Australis,CEAMARC,54BC02Bulk,box core,-65.908233,143.993566,408,25.31,64.45,10.23
Aurora Australis,CEAMARC,55BC01Bulk,box core,-66.337183,145.000333,395,42.81,52.99,4.20
Aurora Australis,CEAMARC,56BC01Bulk,box core,-66.561383,144.663983,587,36.11,38.50,25.39
Aurora Australis,CEAMARC,57BC01B/0-1,box core,-66.742683,144.995033,723,54.40,45.60,0.00
Aurora Australis,CEAMARC,58BC01B/0-2,box core,-66.755900,144.668483,845,88.34,11.65,0.00
